🇨🇳｜央视频道HD,#genre#

CCTV1 HD,http://114.254.84.178:2222/rtp/239.3.1.129:8008
CCTV2 HD,http://114.254.84.178:2222/rtp/239.3.1.60:8084
CCTV3 HD,http://114.254.84.178:2222/rtp/239.3.1.172:8001
CCTV4 HD,http://114.254.84.178:2222/rtp/239.3.1.105:8092
CCTV5 HD,http://114.254.84.178:2222/rtp/239.3.1.173:8001
CCTV5+ HD,http://114.254.84.178:2222/rtp/239.3.1.130:8004
CCTV6 HD,http://114.254.84.178:2222/rtp/239.3.1.174:8001
CCTV7 HD,http://114.254.84.178:2222/rtp/239.3.1.61:8104
CCTV8 HD,http://114.254.84.178:2222/rtp/239.3.1.175:8001
CCTV9 HD,http://114.254.84.178:2222/rtp/239.3.1.62:8112
CCTV10 HD,http://114.254.84.178:2222/rtp/239.3.1.63:8116
CCTV11 HD,http://114.254.84.178:2222/rtp/239.3.1.152:8120
CCTV12 HD,http://114.254.84.178:2222/rtp/239.3.1.64:8124
CCTV13 HD,http://114.254.84.178:2222/rtp/239.3.1.124:8128
CCTV14 HD,http://114.254.84.178:2222/rtp/239.3.1.65:8132
CCTV15 HD,http://114.254.84.178:2222/rtp/239.3.1.153:8136
CCTV16 奥林匹克[HDR],http://114.254.84.178:2222/rtp/239.3.1.183:8001
CCTV16 奥林匹克HD,http://114.254.84.178:2222/rtp/239.3.1.184:8001
CCTV17 HD,http://114.254.84.178:2222/rtp/239.3.1.151:8144
CCTV-4 中文国际 欧洲HD,http://114.254.84.178:2222/rtp/239.3.1.213:4220
CCTV-4 中文国际 美洲HD,http://114.254.84.178:2222/rtp/239.3.1.214:4220
CGTN 新闻HD,http://114.254.84.178:2222/rtp/239.3.1.215:4220
CGTN 记录HD,http://114.254.84.178:2222/rtp/239.3.1.216:4220
CGTN 西班牙语HD,http://114.254.84.178:2222/rtp/239.3.1.217:4220
CGTN 法语HD,http://114.254.84.178:2222/rtp/239.3.1.218:4220
CGTN 阿拉伯语HD,http://114.254.84.178:2222/rtp/239.3.1.219:4220
CGTN 俄语HD,http://114.254.84.178:2222/rtp/239.3.1.220:4220
CETV1HD,http://114.254.84.178:2222/rtp/239.3.1.57:8152
CETV2,http://114.254.84.178:2222/rtp/239.3.1.54:4120
